t,x_filtered,y_filtered,yaw_filtered,x_gt,y_gt,yaw_gt,pos_error,yaw_error
0.0,4.650893699233872,2.999735004624076,-7.657302756166325e-05,4.650893699233872,2.999735004624076,-7.657302756166325e-05,0.0,0.0
0.029999999999986926,4.650894117235455,2.9997350045920683,-7.657321270956027e-05,4.650893699233872,2.999735004624076,-7.657302756166325e-05,4.180015847941066e-07,1.851478970138487e-10
0.05999999999998806,4.65089453524931,2.9997350045600597,-7.657339785701319e-05,4.650894117567076,2.999735006330695,-7.657328885107269e-05,4.1768598670320106e-07,1.0900594050447174e-10
0.09999999999999432,4.6508949532754364,2.9997350045280498,-7.657358300446612e-05,4.650894535912559,2.9997350080373106,-7.657355013069257e-05,4.173776305739368e-07,3.287377354111321e-11
0.12999999999999545,4.650895162293102,2.999735004512045,-7.657367557797053e-05,4.65089495427032,2.999735009743924,-7.65738113999368e-05,2.0808856393136242e-07,1.3582196626345678e-10
0.1599999999999966,4.650895580337637,2.9997350044800335,-7.657386072497937e-05,4.65089495427032,2.999735009743924,-7.65738113999368e-05,6.260894457547777e-07,4.9325042571972226e-11
0.19999999999998863,4.650895998394445,2.9997350044480213,-7.657404587154411e-05,4.650895372640358,2.9997350114505346,-7.657407265898427e-05,6.257932664228338e-07,2.678744015884374e-11
0.22999999999998977,4.650896207427451,2.9997350044320146,-7.657413844460444e-05,4.650895791022677,2.9997350131571423,-7.657433390815708e-05,4.164961746222742e-07,1.954635526379327e-10
0.2599999999999909,4.650896625502669,2.999735004400001,-7.65743235907251e-05,4.650896209417275,2.9997350148637474,-7.657459514713111e-05,4.162169444333193e-07,2.7155640601038856e-10
0.29999999999999716,4.650897043590159,2.9997350043679862,-7.657450873684576e-05,4.650896627824151,2.9997350165703494,-7.65748563759134e-05,4.1594503311742444e-07,3.4763906763847757e-10
0.3299999999999983,4.650897252638507,2.999735004351978,-7.657460130990609e-05,4.650897046243308,2.999735018276949,-7.657511759533706e-05,2.0686440695896188e-07,5.162854309787588e-10
0.35999999999999943,4.650897670744408,2.999735004319962,-7.657478645558265e-05,4.650897464674745,2.9997350199835457,-7.657537880459573e-05,2.0666410846601362e-07,5.923490130745144e-10
0.3999999999999915,4.650898088862584,2.9997350042879445,-7.657497160081513e-05,4.650897464674745,2.9997350199835457,-7.657537880459573e-05,6.243851450723286e-07,4.072037805959248e-10
0.4299999999999926,4.6508982979262745,2.9997350042719355,-7.657506417343137e-05,4.650897883118463,2.9997350216901393,-7.657564000371461e-05,4.151733542318548e-07,5.758302832362073e-10
0.45999999999999375,4.650898716062861,2.9997350042399167,-7.657524931866385e-05,4.650898301574463,2.999735023396731,-7.657590119284466e-05,4.149308566943149e-07,6.518741808148173e-10
0.5,4.650899134211723,2.999735004207897,-7.657543446389633e-05,4.650898720042743,2.9997350251033192,-7.657616237246494e-05,4.146957471052901e-07,7.27908568612227e-10
0.5299999999999869,4.6508993432907575,2.9997350041918867,-7.657552703651257e-05,4.6508991385233065,2.999735026809905,-7.657642354237175e-05,2.0601282419066963e-07,8.965058591868004e-10
0.5599999999999881,4.650899761458033,2.999735004159865,-7.657571218041278e-05,4.6508991385233065,2.999735026809905,-7.657642354237175e-05,6.233463710399006e-07,7.113619589758403e-10
0.5999999999999943,4.650900179637584,2.9997350041278428,-7.657589732431299e-05,4.650899557016151,2.9997350285164877,-7.657668470205918e-05,6.230989121908618e-07,7.873777461872263e-10
0.6299999999999955,4.650900388731962,2.999735004111831,-7.657598989604105e-05,4.650899975521279,2.999735030223068,-7.657694585149249e-05,4.140348603664853e-07,9.559554514356004e-10
0.6599999999999966,4.650900806929927,2.999735004079807,-7.6576175038609e-05,4.650900394038688,2.999735031929645,-7.657720699077124e-05,4.138294202525676e-07,1.0319521622452867e-09
0.6999999999999886,4.650901225140169,2.999735004047782,-7.657636018162103e-05,4.650900812568381,2.99973503363622,-7.657746811962121e-05,4.1363142548686486e-07,1.1079380001876964e-09
0.7299999999999898,4.650901434249893,2.9997350040317694,-7.657645275334909e-05,4.650901231110358,2.999735035342792,-7.657772923858303e-05,2.0553844163301558e-07,1.2764852339475653e-09
0.7599999999999909,4.650901852478549,2.9997350039997426,-7.657663789547294e-05,4.650901231110358,2.999735035342792,-7.657772923858303e-05,6.221581922969768e-07,1.0913431100934446e-09
0.7999999999999972,4.650902270719483,2.9997350039677153,-7.65768230375968e-05,4.650902068231161,2.9997350387559276,-7.65782514466566e-05,2.054549593136534e-07,1.428409059802782e-09
0.8299999999999983,4.650902479844553,2.999735003951701,-7.657691560843668e-05,4.650902068231161,2.9997350387559276,-7.65782514466566e-05,4.1308221805993234e-07,1.3358382199203265e-09
0.8599999999999994,4.650902898103903,2.999735003919672,-7.657710074967235e-05,4.650902486809989,2.999735040462491,-7.657851253576751e-05,4.129141084767096e-07,1.4117860951606354e-09
0.8999999999999915,4.650903316375531,2.999735003887642,-7.657728589090803e-05,4.650902905401103,2.999735042169052,-7.657877361500484e-05,4.127534938420143e-07,1.487724096815705e-09
0.9299999999999926,4.6509035255159485,2.9997350038716264,-7.657737846130382e-05,4.650903324004501,2.99973504387561,-7.657903468453499e-05,2.0544386628803426e-07,1.656223231165919e-09
0.9599999999999937,4.650903943805994,2.999735003839595,-7.657756360209541e-05,4.650903324004501,2.99973504387561,-7.657903468453499e-05,6.210932079528126e-07,1.4710824395794278e-09
1.0,4.650904362108317,2.999735003807562,-7.657774874199882e-05,4.650904161248155,2.999735047288718,-7.657955679301817e-05,2.0551256827558965e-07,1.8080510193549263e-09
1.029999999999987,4.650904571264084,2.9997350037915456,-7.657784131195052e-05,4.650904161248155,2.999735047288718,-7.657955679301817e-05,4.123167057721587e-07,1.7154810676508906e-09
1.059999999999988,4.650904989584825,2.9997350037595116,-7.657802645140984e-05,4.650904579888411,2.999735048995268,-7.657981783252666e-05,4.121861542757761e-07,1.7913811168224648e-09
1.0999999999999943,4.650905407917847,2.9997350037274764,-7.657821159042507e-05,4.650904998540954,2.999735050701815,-7.658007886205286e-05,4.1206313744002493e-07,1.867271627793189e-09
1.1299999999999955,4.650905617088962,2.9997350037114585,-7.657830415993268e-05,4.6509054172057835,2.9997350524083597,-7.658033988172353e-05,2.0572961190104784e-07,2.0357217908454663e-09
1.1599999999999966,4.6509060354404035,2.9997350036794215,-7.657848929805974e-05,4.6509054172057835,2.9997350524083597,-7.658033988172353e-05,6.201520416116719e-07,1.8505836637942343e-09
1.1999999999999886,4.650906453804124,2.999735003647384,-7.657867443618679e-05,4.6509058358829,2.9997350541149013,-7.658060089083526e-05,6.19978717277585e-07,1.9264546484735676e-09
1.2299999999999898,4.65090666299059,2.999735003631365,-7.657876700525031e-05,4.650906254572304,2.9997350558214397,-7.658086189025456e-05,4.117393603597606e-07,2.094885004249908e-09
1.259999999999991,4.650907081372732,2.9997350035993255,-7.657895214248919e-05,4.650906673273996,2.999735057527976,-7.658112287983924e-05,4.116465447138113e-07,2.1707373500573285e-09
1.2999999999999972,4.650907290568408,2.9997350035833055,-7.657904471110862e-05,4.650907091987976,2.9997350592345096,-7.658138385911929e-05,2.0623104647183438e-07,2.339148010664237e-09
1.3299999999999983,4.650907708968972,2.999735003551265,-7.65792298479034e-05,4.650907510714244,2.9997350609410396,-7.658164482849483e-05,2.0639409666638405e-07,2.4149805914253954e-09
1.3599999999999994,4.650908127381816,2.999735003519223,-7.65794149842541e-05,4.650907929452802,2.9997350626475674,-7.658190578832467e-05,2.0657215579664816e-07,2.4908040705668138e-09
1.3999999999999915,4.650908545806942,2.99973500348718,-7.65796001201607e-05,4.650907929452802,2.9997350626475674,-7.658190578832467e-05,6.191868680176686e-07,2.305668163961631e-09
1.4299999999999926,4.650908755024111,2.9997350034711583,-7.657969268744787e-05,4.6509083482036475,2.9997350643540925,-7.658216673828447e-05,4.113509708713071e-07,2.4740508365941882e-09
1.4599999999999937,4.65090917346766,2.999735003439114,-7.65798778224663e-05,4.650908766966785,2.999735066060615,-7.658242767791174e-05,4.1129601779894624e-07,2.54985544544074e-09
1.5,4.650909591923491,2.9997350034070687,-7.658006295659655e-05,4.65090918574221,2.9997350677671344,-7.658268860763808e-05,4.112486492368587e-07,2.6256510415314724e-09
1.529999999999987,4.650909801156013,2.999735003391046,-7.658015552343963e-05,4.650909604529925,2.9997350694736515,-7.658294952739177e-05,2.0743367419435953e-07,2.7940039521367685e-09
1.559999999999988,4.650910219630268,2.9997350033589987,-7.65803406566817e-05,4.650909604529925,2.9997350694736515,-7.658294952739177e-05,6.186433378048274e-07,2.608870710066845e-09
1.5999999999999943,4.650910638116808,2.999735003326951,-7.658052578992377e-05,4.650910023329932,2.9997350711801656,-7.658321043612655e-05,6.185199763782286e-07,2.6846462027860273e-09
1.6299999999999955,4.650910847364683,2.9997350033109265,-7.658061835587867e-05,4.650910442142231,2.999735072886677,-7.658347133477013e-05,4.1115206516864346e-07,2.852978891462266e-09
1.6599999999999966,4.650911265869647,2.9997350032788774,-7.658080348867665e-05,4.65091086096682,2.9997350745931857,-7.658373222435248e-05,4.1113505047400933e-07,2.9287356758257287e-09
1.6999999999999886,4.650911475126736,2.999735003262852,-7.658089605463155e-05,4.650911279803702,2.9997350762996913,-7.658399310331042e-05,2.0853169440701914e-07,3.0970486788735145e-09
1.7299999999999898,4.650911893650125,2.9997350032308012,-7.658108118654135e-05,4.650911698652877,2.9997350780061947,-7.658425397264021e-05,2.0884273129091237e-07,3.172786098857628e-09
1.759999999999991,4.650912102916427,2.9997350032147754,-7.658117375205217e-05,4.650911698652877,2.9997350780061947,-7.658425397264021e-05,4.111237949451109e-07,3.080220588045691e-09
1.7999999999999972,4.650912730733759,2.9997350031666965,-7.65814514485846e-05,4.650912536388102,2.9997350814191925,-7.658477568119682e-05,2.0950820387876833e-07,3.324232612214508e-09
1.8299999999999983,4.650912940012345,2.9997350031506693,-7.658154401365132e-05,4.650912536388102,2.9997350814191925,-7.658477568119682e-05,4.1114290892072e-07,3.2316675454917808e-09
1.8599999999999994,4.650913358578732,2.999735003118615,-7.658172914378477e-05,4.650912955274153,2.999735083125688,-7.658503652072912e-05,4.111638544675168e-07,3.3073769443520617e-09
1.8999999999999915,4.650913567866532,2.9997350031025873,-7.65818217084074e-05,4.6509133741724975,2.9997350848321798,-7.658529735017714e-05,2.1023107558524697e-07,3.475641769737901e-09
1.9299999999999926,4.6509139864513465,2.999735003070531,-7.658200683765267e-05,4.650913793083135,2.9997350865386694,-7.658555816985634e-05,2.1061385329994742e-07,3.551332203666018e-09
1.9599999999999937,4.650914405048447,2.999735003038474,-7.658219196600976e-05,4.650913793083135,2.9997350865386694,-7.658555816985634e-05,6.176356741140332e-07,3.3662038465774027e-09
2.0,4.650914823657835,2.9997350030064163,-7.658237709347867e-05,4.650914630941295,2.9997350899516397,-7.658607977865803e-05,2.1142170305993222e-07,3.702685179364268e-09
2.029999999999987,4.650915032967135,2.999735002990387,-7.658246965721312e-05,4.650914630941295,2.9997350899516397,-7.658607977865803e-05,4.1132351703659284e-07,3.6101214449091703e-09
2.059999999999988,4.650915451594952,2.999735002958327,-7.658265478423794e-05,4.650915049888817,2.999735091658121,-7.658634056739068e-05,4.11382391848367e-07,3.685783152738097e-09
2.0999999999999943,4.650915870235056,2.9997350029262666,-7.658283991081868e-05,4.650915468848634,2.9997350933645994,-7.658660134660419e-05,4.114488445864467e-07,3.761435785510237e-09
2.1299999999999955,4.650916079559716,2.999735002910236,-7.658293247366495e-05,4.650915887820745,2.9997350950710753,-7.658686211578213e-05,2.1273799171736997e-07,3.929642117172431e-09
2.1599999999999966,4.65091649821825,2.9997350028781735,-7.65831175993575e-05,4.650915887820745,2.9997350950710753,-7.658686211578213e-05,6.173205368581078e-07,3.744516424619075e-09
2.1999999999999886,4.650916916889073,2.9997350028461107,-7.658330272416188e-05,4.650916306805153,2.9997350967775485,-7.658712287483764e-05,6.172726331905446e-07,3.82015067575982e-09
2.2299999999999898,4.650917126229093,2.9997350028300787,-7.658339528656407e-05,4.650916725801857,2.9997350984840185,-7.658738362517972e-05,4.116936324992018e-07,3.988338615653329e-09
2.259999999999991,4.6509175449183475,2.999735002798014,-7.658358041048027e-05,4.650917144810858,2.999735100190486,-7.658764436539538e-05,4.11790355180578e-07,4.063954915116603e-09
2.299999999999997,4.650917963619891,2.999735002765948,-7.658376553395237e-05,4.650917563832155,2.9997351018969507,-7.658790509513659e-05,4.118946342398579e-07,4.139561184219004e-09
2.3299999999999983,4.65091817297527,2.999735002749915,-7.658385809546638e-05,4.650917982865749,2.9997351036034123,-7.658816581500729e-05,2.152046884922648e-07,4.307719540910847e-09
2.3599999999999994,4.650918591695247,2.999735002717848,-7.658404321760622e-05,4.650918401911642,2.9997351053098718,-7.65884265243829e-05,2.1573812908287856e-07,4.3833067766814796e-09
2.3999999999999915,4.650918801059845,2.9997350027018137,-7.658413577823205e-05,4.650918401911642,2.9997351053098718,-7.65884265243829e-05,4.121258325280441e-07,4.290746150850851e-09
